N,replicate,model,strict_mean,soft_mean
250,45,deepseek-v3,0.772,0.92197615
250,45,gemma-2-2b,0.536,0.75625706
250,45,gemma-2-9b,0.648,0.8279904
250,45,llama3.1-405b,0.708,0.87545717
250,45,llama3.3-70b,0.748,0.8974095
250,45,mistral-large,0.768,0.9091809
250,45,qwen2.5-72b,0.684,0.8310714
250,46,Llama-3.1-8B,0.568,0.79326195
250,46,Llama-3.2-1B,0.312,0.56576204
250,46,Llama-3.2-3B,0.5,0.73285234
250,46,Qwen2.5-0.5B,0.196,0.40573335
250,46,Qwen2.5-1.5B,0.28,0.5286189
250,46,Qwen2.5-3B,0.504,0.71892387
250,46,Qwen2.5-7B,0.588,0.79247165
250,46,deepseek-v3,0.788,0.9199857
250,46,gemma-2-2b,0.464,0.70164293
250,46,gemma-2-9b,0.588,0.7917143
250,46,llama3.1-405b,0.7,0.8675477
250,46,llama3.3-70b,0.704,0.8799667
250,46,mistral-large,0.74,0.897081
250,46,qwen2.5-72b,0.596,0.7701286
250,47,Llama-3.1-8B,0.568,0.78287625
250,47,Llama-3.2-1B,0.328,0.58262855
250,47,Llama-3.2-3B,0.532,0.7547
250,47,Qwen2.5-0.5B,0.132,0.37159044
250,47,Qwen2.5-1.5B,0.296,0.56374276
250,47,Qwen2.5-3B,0.496,0.7199191
250,47,Qwen2.5-7B,0.624,0.8062571
250,47,deepseek-v3,0.764,0.9079715
250,47,gemma-2-2b,0.496,0.7433336
250,47,gemma-2-9b,0.592,0.782262
250,47,llama3.1-405b,0.7,0.8626381
250,47,llama3.3-70b,0.732,0.8836382
250,47,mistral-large,0.676,0.85230964
250,47,qwen2.5-72b,0.616,0.8000286
250,48,Llama-3.1-8B,0.568,0.7743286
250,48,Llama-3.2-1B,0.304,0.5335761
250,48,Llama-3.2-3B,0.488,0.71520495
250,48,Qwen2.5-0.5B,0.136,0.36229533
250,48,Qwen2.5-1.5B,0.276,0.54146665
250,48,Qwen2.5-3B,0.48,0.7330096
250,48,Qwen2.5-7B,0.592,0.79933816
250,48,deepseek-v3,0.76,0.9104335
250,48,gemma-2-2b,0.496,0.723
250,48,gemma-2-9b,0.632,0.7935526
250,48,llama3.1-405b,0.688,0.84502876
250,48,llama3.3-70b,0.68,0.859424
250,48,mistral-large,0.74,0.89829534
250,48,qwen2.5-72b,0.616,0.79882395
250,49,Llama-3.1-8B,0.628,0.8162619
250,49,Llama-3.2-1B,0.38,0.59254295
250,49,Llama-3.2-3B,0.56,0.7522333
250,49,Qwen2.5-0.5B,0.168,0.38911432
250,49,Qwen2.5-1.5B,0.344,0.58080477
250,49,Qwen2.5-3B,0.512,0.7099807
250,49,Qwen2.5-7B,0.616,0.8005572
250,49,deepseek-v3,0.756,0.905581
250,49,gemma-2-2b,0.512,0.7514047
250,49,gemma-2-9b,0.588,0.7660238
250,49,llama3.1-405b,0.728,0.86612874
250,49,llama3.3-70b,0.76,0.9005143
250,49,mistral-large,0.74,0.87986666
250,49,qwen2.5-72b,0.672,0.81340486
500,0,Llama-3.1-8B,0.578,0.802676
500,0,Llama-3.2-1B,0.318,0.57712394
500,0,Llama-3.2-3B,0.512,0.7506404
500,0,Qwen2.5-0.5B,0.152,0.37521422
500,0,Qwen2.5-1.5B,0.312,0.569869
500,0,Qwen2.5-3B,0.506,0.7279951
500,0,Qwen2.5-7B,0.592,0.80827856
500,0,deepseek-v3,0.766,0.9163165
500,0,gemma-2-2b,0.492,0.73173314
500,0,gemma-2-9b,0.592,0.8009118
500,0,llama3.1-405b,0.684,0.8613951
500,0,llama3.3-70b,0.7,0.8806212
500,0,mistral-large,0.722,0.88751185
500,0,qwen2.5-72b,0.63,0.81032145
500,1,Llama-3.1-8B,0.598,0.7990788
500,1,Llama-3.2-1B,0.342,0.600012
500,1,Llama-3.2-3B,0.542,0.768888
500,1,Qwen2.5-0.5B,0.148,0.39769042
500,1,Qwen2.5-1.5B,0.364,0.60573334
500,1,Qwen2.5-3B,0.51,0.73774993
500,1,Qwen2.5-7B,0.648,0.8330262
500,1,deepseek-v3,0.774,0.9161524
500,1,gemma-2-2b,0.524,0.74204755
500,1,gemma-2-9b,0.648,0.818457
500,1,llama3.1-405b,0.718,0.8711356
500,1,llama3.3-70b,0.766,0.9067333
500,1,mistral-large,0.73,0.8937453
500,1,qwen2.5-72b,0.65,0.80757374
500,2,Llama-3.1-8B,0.612,0.8081714
500,2,Llama-3.2-1B,0.344,0.5868143
500,2,Llama-3.2-3B,0.536,0.7718356
500,2,Qwen2.5-0.5B,0.182,0.41808566
500,2,Qwen2.5-1.5B,0.346,0.5802215
500,2,Qwen2.5-3B,0.524,0.7502855
500,2,Qwen2.5-7B,0.63,0.826464
500,2,deepseek-v3,0.772,0.91647613
500,2,gemma-2-2b,0.52,0.74765706
500,2,gemma-2-9b,0.622,0.81807125
500,2,llama3.1-405b,0.706,0.87078565
500,2,llama3.3-70b,0.722,0.88973564
500,2,mistral-large,0.732,0.8999856
500,2,qwen2.5-72b,0.648,0.82099265
500,3,Llama-3.1-8B,0.56,0.8006523
500,3,Llama-3.2-1B,0.324,0.57807606
500,3,Llama-3.2-3B,0.504,0.7483194
500,3,Qwen2.5-0.5B,0.184,0.42073804
500,3,Qwen2.5-1.5B,0.356,0.6214905
500,3,Qwen2.5-3B,0.5,0.7570784
500,3,Qwen2.5-7B,0.628,0.8303784
500,3,deepseek-v3,0.752,0.9157165
500,3,gemma-2-2b,0.534,0.765607
500,3,gemma-2-9b,0.616,0.8217072
500,3,llama3.1-405b,0.682,0.8660237
500,3,llama3.3-70b,0.694,0.8879264
500,3,mistral-large,0.712,0.89090264
500,3,qwen2.5-72b,0.638,0.8109429
500,4,Llama-3.1-8B,0.61,0.81769043
500,4,Llama-3.2-1B,0.316,0.5833761
500,4,Llama-3.2-3B,0.514,0.75771415
500,4,Qwen2.5-0.5B,0.168,0.41265455
500,4,Qwen2.5-1.5B,0.314,0.5871073
500,4,Qwen2.5-3B,0.524,0.74545217
500,4,Qwen2.5-7B,0.594,0.7985929
500,4,deepseek-v3,0.776,0.9156976
500,4,gemma-2-2b,0.554,0.7628857
500,4,gemma-2-9b,0.648,0.8250428
500,4,llama3.1-405b,0.696,0.8757428
500,4,llama3.3-70b,0.722,0.8893546
500,4,mistral-large,0.728,0.89507836
500,4,qwen2.5-72b,0.646,0.8081024
500,5,Llama-3.1-8B,0.58,0.79057133
500,5,Llama-3.2-1B,0.288,0.5530525
500,5,Llama-3.2-3B,0.49,0.7332881
500,5,Qwen2.5-0.5B,0.16,0.4114499
500,5,Qwen2.5-1.5B,0.342,0.5953811
500,5,Qwen2.5-3B,0.482,0.7171809
500,5,Qwen2.5-7B,0.588,0.80055
500,5,deepseek-v3,0.766,0.9116713
500,5,gemma-2-2b,0.5,0.73640966
500,5,gemma-2-9b,0.588,0.7771951
500,5,llama3.1-405b,0.674,0.8625879
500,5,llama3.3-70b,0.722,0.8919595
500,5,mistral-large,0.724,0.8897498
500,5,qwen2.5-72b,0.64,0.80932623
500,6,Llama-3.1-8B,0.594,0.8139926
500,6,Llama-3.2-1B,0.316,0.58072615
500,6,Llama-3.2-3B,0.536,0.7670856
500,6,Qwen2.5-0.5B,0.176,0.41807145
500,6,Qwen2.5-1.5B,0.336,0.58351654
500,6,Qwen2.5-3B,0.52,0.7350618
500,6,Qwen2.5-7B,0.608,0.80612385
500,6,deepseek-v3,0.776,0.91824764
500,6,gemma-2-2b,0.518,0.7394001
500,6,gemma-2-9b,0.616,0.81684744
500,6,llama3.1-405b,0.706,0.85952383
500,6,llama3.3-70b,0.748,0.89254296
500,6,mistral-large,0.72,0.8864524
500,6,qwen2.5-72b,0.64,0.8080786
500,7,Llama-3.1-8B,0.56,0.7833976
500,7,Llama-3.2-1B,0.298,0.5581952
500,7,Llama-3.2-3B,0.494,0.73816186
500,7,Qwen2.5-0.5B,0.138,0.3839953
500,7,Qwen2.5-1.5B,0.294,0.5544194
500,7,Qwen2.5-3B,0.47,0.71243817
500,7,Qwen2.5-7B,0.582,0.7932999
500,7,deepseek-v3,0.738,0.90329754
500,7,gemma-2-2b,0.472,0.7154167
500,7,gemma-2-9b,0.562,0.7926188
500,7,llama3.1-405b,0.662,0.8481595
500,7,llama3.3-70b,0.7,0.87407136
500,7,mistral-large,0.682,0.8695498
500,7,qwen2.5-72b,0.612,0.80093807
500,8,Llama-3.1-8B,0.582,0.79225963
500,8,Llama-3.2-1B,0.304,0.5585309
500,8,Llama-3.2-3B,0.488,0.72802615
500,8,Qwen2.5-0.5B,0.136,0.3702857
500,8,Qwen2.5-1.5B,0.306,0.5510667
500,8,Qwen2.5-3B,0.452,0.70018804
500,8,Qwen2.5-7B,0.564,0.80229753
500,8,deepseek-v3,0.76,0.9082855
500,8,gemma-2-2b,0.494,0.7315
500,8,gemma-2-9b,0.596,0.7851953
500,8,llama3.1-405b,0.694,0.8639856
500,8,llama3.3-70b,0.716,0.8835666
500,8,mistral-large,0.692,0.8734786
500,8,qwen2.5-72b,0.608,0.7855403
500,9,Llama-3.1-8B,0.59,0.797569
500,9,Llama-3.2-1B,0.292,0.56592846
500,9,Llama-3.2-3B,0.498,0.73725706
500,9,Qwen2.5-0.5B,0.164,0.4067261
500,9,Qwen2.5-1.5B,0.318,0.5612334
500,9,Qwen2.5-3B,0.486,0.72129744
500,9,Qwen2.5-7B,0.63,0.8241927
500,9,deepseek-v3,0.77,0.91316897
500,9,gemma-2-2b,0.526,0.745212
500,9,gemma-2-9b,0.6,0.77980953
500,9,llama3.1-405b,0.7,0.86094266
500,9,llama3.3-70b,0.744,0.8943214
500,9,mistral-large,0.712,0.88479286
500,9,qwen2.5-72b,0.652,0.8240522
500,10,Llama-3.1-8B,0.582,0.79146427
500,10,Llama-3.2-1B,0.304,0.55268574
500,10,Llama-3.2-3B,0.52,0.7553547
500,10,Qwen2.5-0.5B,0.134,0.37648806
500,10,Qwen2.5-1.5B,0.342,0.5761192
500,10,Qwen2.5-3B,0.514,0.73576176
500,10,Qwen2.5-7B,0.646,0.8288668
500,10,deepseek-v3,0.788,0.92085946
500,10,gemma-2-2b,0.518,0.7352763
500,10,gemma-2-9b,0.622,0.80094045
500,10,llama3.1-405b,0.708,0.86736184
500,10,llama3.3-70b,0.75,0.9093285
500,10,mistral-large,0.766,0.911269
500,10,qwen2.5-72b,0.656,0.8107476
500,11,Llama-3.1-8B,0.542,0.78652847
500,11,Llama-3.2-1B,0.29,0.5395238
500,11,Llama-3.2-3B,0.494,0.74695945
500,11,Qwen2.5-0.5B,0.156,0.39291656
500,11,Qwen2.5-1.5B,0.352,0.5867236
500,11,Qwen2.5-3B,0.502,0.7508548
500,11,Qwen2.5-7B,0.612,0.8263237
500,11,deepseek-v3,0.768,0.914095
500,11,gemma-2-2b,0.498,0.7489404
500,11,gemma-2-9b,0.562,0.7863666
500,11,llama3.1-405b,0.69,0.86176884
500,11,llama3.3-70b,0.688,0.8751046
500,11,mistral-large,0.714,0.8888926
500,11,qwen2.5-72b,0.646,0.813507
500,12,Llama-3.1-8B,0.566,0.79242843
500,12,Llama-3.2-1B,0.304,0.58454543
500,12,Llama-3.2-3B,0.506,0.7431142
500,12,Qwen2.5-0.5B,0.148,0.40754038
500,12,Qwen2.5-1.5B,0.322,0.59386665
500,12,Qwen2.5-3B,0.486,0.73499507
500,12,Qwen2.5-7B,0.63,0.83391684
500,12,deepseek-v3,0.776,0.9196546
500,12,gemma-2-2b,0.512,0.74581426
500,12,gemma-2-9b,0.612,0.8203882
500,12,llama3.1-405b,0.682,0.8645167
500,12,llama3.3-70b,0.732,0.8920879
500,12,mistral-large,0.734,0.892938
500,12,qwen2.5-72b,0.638,0.8123952
500,13,Llama-3.1-8B,0.6,0.81184036
500,13,Llama-3.2-1B,0.318,0.5670239
500,13,Llama-3.2-3B,0.508,0.73155713
500,13,Qwen2.5-0.5B,0.15,0.36902136
500,13,Qwen2.5-1.5B,0.336,0.5629857
500,13,Qwen2.5-3B,0.484,0.716726
500,13,Qwen2.5-7B,0.596,0.8036999
500,13,deepseek-v3,0.764,0.9141047
500,13,gemma-2-2b,0.53,0.75623083
500,13,gemma-2-9b,0.634,0.82059985
500,13,llama3.1-405b,0.708,0.86946887
500,13,llama3.3-70b,0.72,0.88931173
500,13,mistral-large,0.716,0.88999987
500,13,qwen2.5-72b,0.62,0.80477124
500,14,Llama-3.1-8B,0.592,0.81734294
500,14,Llama-3.2-1B,0.326,0.57406676
500,14,Llama-3.2-3B,0.52,0.751588
500,14,Qwen2.5-0.5B,0.166,0.41343096
500,14,Qwen2.5-1.5B,0.348,0.59278566
500,14,Qwen2.5-3B,0.48,0.7286191
500,14,Qwen2.5-7B,0.632,0.8293549
500,14,deepseek-v3,0.806,0.9302476
500,14,gemma-2-2b,0.534,0.7653523
500,14,gemma-2-9b,0.616,0.8172856
500,14,llama3.1-405b,0.68,0.8697403
500,14,llama3.3-70b,0.728,0.8988951
500,14,mistral-large,0.728,0.90031654
500,14,qwen2.5-72b,0.642,0.81647635
500,15,Llama-3.1-8B,0.548,0.79913557
500,15,Llama-3.2-1B,0.296,0.5408285
500,15,Llama-3.2-3B,0.496,0.75812376
500,15,Qwen2.5-0.5B,0.136,0.39330703
500,15,Qwen2.5-1.5B,0.322,0.57801896
500,15,Qwen2.5-3B,0.478,0.72831917
500,15,Qwen2.5-7B,0.626,0.82142866
500,15,deepseek-v3,0.76,0.91325706
500,15,gemma-2-2b,0.486,0.7302786
500,15,gemma-2-9b,0.58,0.79479045
500,15,llama3.1-405b,0.692,0.8637856
500,15,llama3.3-70b,0.706,0.887419
500,15,mistral-large,0.696,0.8877473
500,15,qwen2.5-72b,0.634,0.8183237
500,16,Llama-3.1-8B,0.626,0.81365
500,16,Llama-3.2-1B,0.35,0.59832853
500,16,Llama-3.2-3B,0.558,0.77020234
500,16,Qwen2.5-0.5B,0.174,0.4055428
500,16,Qwen2.5-1.5B,0.396,0.60052145
500,16,Qwen2.5-3B,0.534,0.7515262
500,16,Qwen2.5-7B,0.634,0.8196572
500,16,deepseek-v3,0.756,0.9051952
500,16,gemma-2-2b,0.516,0.7498046
500,16,gemma-2-9b,0.634,0.81486416
500,16,llama3.1-405b,0.71,0.86822844
500,16,llama3.3-70b,0.724,0.89296657
500,16,mistral-large,0.732,0.8949405
500,16,qwen2.5-72b,0.67,0.8173712
500,17,Llama-3.1-8B,0.528,0.7767477
500,17,Llama-3.2-1B,0.31,0.5714167
500,17,Llama-3.2-3B,0.464,0.7286453
500,17,Qwen2.5-0.5B,0.156,0.40602848
500,17,Qwen2.5-1.5B,0.326,0.56859773
500,17,Qwen2.5-3B,0.474,0.72245944
500,17,Qwen2.5-7B,0.624,0.819888
500,17,deepseek-v3,0.758,0.9109474
500,17,gemma-2-2b,0.486,0.7370098
500,17,gemma-2-9b,0.56,0.7844573
500,17,llama3.1-405b,0.672,0.8434833
500,17,llama3.3-70b,0.71,0.88606685
500,17,mistral-large,0.688,0.88220465
500,17,qwen2.5-72b,0.648,0.80949765
500,18,Llama-3.1-8B,0.56,0.7859975
500,18,Llama-3.2-1B,0.312,0.5797835
500,18,Llama-3.2-3B,0.512,0.7497213
500,18,Qwen2.5-0.5B,0.154,0.38365713
500,18,Qwen2.5-1.5B,0.31,0.5693618
500,18,Qwen2.5-3B,0.484,0.72983795
500,18,Qwen2.5-7B,0.626,0.8327047
500,18,deepseek-v3,0.752,0.9078093
500,18,gemma-2-2b,0.508,0.7483927
500,18,gemma-2-9b,0.6,0.8037401
500,18,llama3.1-405b,0.686,0.8609904
500,18,llama3.3-70b,0.718,0.8869976
500,18,mistral-large,0.736,0.89009047
500,18,qwen2.5-72b,0.64,0.81806433
500,19,Llama-3.1-8B,0.588,0.79766434
500,19,Llama-3.2-1B,0.35,0.60373807
500,19,Llama-3.2-3B,0.484,0.733057
500,19,Qwen2.5-0.5B,0.17,0.40270945
500,19,Qwen2.5-1.5B,0.328,0.56100696
500,19,Qwen2.5-3B,0.5,0.73173326
500,19,Qwen2.5-7B,0.606,0.8186263
500,19,deepseek-v3,0.756,0.9070523
500,19,gemma-2-2b,0.516,0.75005734
500,19,gemma-2-9b,0.59,0.79901683
500,19,llama3.1-405b,0.678,0.8563952
500,19,llama3.3-70b,0.726,0.8922737
500,19,mistral-large,0.698,0.8775429
500,19,qwen2.5-72b,0.636,0.8047285
500,20,Llama-3.1-8B,0.574,0.79258776
500,20,Llama-3.2-1B,0.336,0.5926692
500,20,Llama-3.2-3B,0.532,0.75564265
500,20,Qwen2.5-0.5B,0.152,0.40329507
500,20,Qwen2.5-1.5B,0.328,0.5912381
500,20,Qwen2.5-3B,0.512,0.75662637
500,20,Qwen2.5-7B,0.598,0.81686175
500,20,deepseek-v3,0.794,0.9272381
500,20,gemma-2-2b,0.528,0.7650951
500,20,gemma-2-9b,0.606,0.80576193
500,20,llama3.1-405b,0.682,0.8578117
500,20,llama3.3-70b,0.708,0.88680476
500,20,mistral-large,0.722,0.8962024
500,20,qwen2.5-72b,0.666,0.8416546
500,21,Llama-3.1-8B,0.568,0.7834688
500,21,Llama-3.2-1B,0.322,0.57860476
500,21,Llama-3.2-3B,0.524,0.7520973
500,21,Qwen2.5-0.5B,0.158,0.4005403
500,21,Qwen2.5-1.5B,0.314,0.5625238
500,21,Qwen2.5-3B,0.482,0.7167808
500,21,Qwen2.5-7B,0.604,0.8160427
500,21,deepseek-v3,0.774,0.9189712
500,21,gemma-2-2b,0.486,0.71472573
500,21,gemma-2-9b,0.588,0.79289484
500,21,llama3.1-405b,0.686,0.8668142
500,21,llama3.3-70b,0.738,0.89932114
500,21,mistral-large,0.726,0.8954951
500,21,qwen2.5-72b,0.67,0.8293545
500,22,Llama-3.1-8B,0.568,0.7962594
500,22,Llama-3.2-1B,0.33,0.5838597
500,22,Llama-3.2-3B,0.51,0.74516886
500,22,Qwen2.5-0.5B,0.156,0.40877855
500,22,Qwen2.5-1.5B,0.316,0.58650243
500,22,Qwen2.5-3B,0.474,0.73371655
500,22,Qwen2.5-7B,0.602,0.80888087
500,22,deepseek-v3,0.766,0.9169593
500,22,gemma-2-2b,0.5,0.7432404
500,22,gemma-2-9b,0.602,0.7955546
500,22,llama3.1-405b,0.698,0.8648737
500,22,llama3.3-70b,0.74,0.8932713
500,22,mistral-large,0.74,0.895926
500,22,qwen2.5-72b,0.628,0.8041047
500,23,Llama-3.1-8B,0.582,0.7983168
500,23,Llama-3.2-1B,0.31,0.54853326
500,23,Llama-3.2-3B,0.54,0.75934297
500,23,Qwen2.5-0.5B,0.136,0.3872974
500,23,Qwen2.5-1.5B,0.326,0.5828763
500,23,Qwen2.5-3B,0.566,0.7729143
500,23,Qwen2.5-7B,0.64,0.83080226
500,23,deepseek-v3,0.802,0.9279214
500,23,gemma-2-2b,0.532,0.7687832
500,23,gemma-2-9b,0.618,0.8291166
500,23,llama3.1-405b,0.728,0.88000464
500,23,llama3.3-70b,0.756,0.9016094
500,23,mistral-large,0.752,0.8999095
500,23,qwen2.5-72b,0.646,0.81179523
500,24,Llama-3.1-8B,0.57,0.79157597
500,24,Llama-3.2-1B,0.304,0.5599404
500,24,Llama-3.2-3B,0.504,0.75105226
500,24,Qwen2.5-0.5B,0.176,0.39273813
500,24,Qwen2.5-1.5B,0.304,0.5533811
500,24,Qwen2.5-3B,0.482,0.71758336
500,24,Qwen2.5-7B,0.598,0.8071497
500,24,deepseek-v3,0.736,0.90230477
500,24,gemma-2-2b,0.494,0.73305213
500,24,gemma-2-9b,0.58,0.79083794
500,24,llama3.1-405b,0.702,0.8713688
500,24,llama3.3-70b,0.72,0.89204526
500,24,mistral-large,0.678,0.8720093
500,24,qwen2.5-72b,0.62,0.80112606
500,25,Llama-3.1-8B,0.528,0.76339287
500,25,Llama-3.2-1B,0.294,0.54871434
500,25,Llama-3.2-3B,0.482,0.73327845
500,25,Qwen2.5-0.5B,0.182,0.4266094
500,25,Qwen2.5-1.5B,0.344,0.58371663
500,25,Qwen2.5-3B,0.49,0.7384523
500,25,Qwen2.5-7B,0.608,0.8172427
500,25,deepseek-v3,0.752,0.9089119
500,25,gemma-2-2b,0.482,0.72637856
500,25,gemma-2-9b,0.576,0.7786049
500,25,llama3.1-405b,0.642,0.8414927
500,25,llama3.3-70b,0.696,0.8801023
500,25,mistral-large,0.7,0.88019776
500,25,qwen2.5-72b,0.628,0.8141501
500,26,Llama-3.1-8B,0.556,0.7946427
500,26,Llama-3.2-1B,0.296,0.55823076
500,26,Llama-3.2-3B,0.514,0.75449485
500,26,Qwen2.5-0.5B,0.164,0.41877377
500,26,Qwen2.5-1.5B,0.34,0.5942261
500,26,Qwen2.5-3B,0.52,0.7489715
500,26,Qwen2.5-7B,0.616,0.8265736
500,26,deepseek-v3,0.762,0.9127212
500,26,gemma-2-2b,0.492,0.75678813
500,26,gemma-2-9b,0.592,0.8074425
500,26,llama3.1-405b,0.692,0.87255216
500,26,llama3.3-70b,0.704,0.8855307
500,26,mistral-large,0.688,0.87275934
500,26,qwen2.5-72b,0.634,0.8275047
500,27,Llama-3.1-8B,0.594,0.80001885
500,27,Llama-3.2-1B,0.302,0.5520284
500,27,Llama-3.2-3B,0.522,0.7554692
500,27,Qwen2.5-0.5B,0.142,0.3679761
500,27,Qwen2.5-1.5B,0.356,0.5947644
500,27,Qwen2.5-3B,0.474,0.7149117
500,27,Qwen2.5-7B,0.612,0.8087737
500,27,deepseek-v3,0.756,0.9100451
500,27,gemma-2-2b,0.482,0.7251734
500,27,gemma-2-9b,0.626,0.8099617
500,27,llama3.1-405b,0.7,0.86481416
500,27,llama3.3-70b,0.73,0.8852285
500,27,mistral-large,0.722,0.8841476
500,27,qwen2.5-72b,0.65,0.8137547
500,28,Llama-3.1-8B,0.594,0.8017071
500,28,Llama-3.2-1B,0.34,0.57869285
500,28,Llama-3.2-3B,0.534,0.7591071
500,28,Qwen2.5-0.5B,0.162,0.3802952
500,28,Qwen2.5-1.5B,0.354,0.59015715
500,28,Qwen2.5-3B,0.528,0.7341382
500,28,Qwen2.5-7B,0.63,0.8198808
500,28,deepseek-v3,0.792,0.9280998
500,28,gemma-2-2b,0.53,0.7557404
500,28,gemma-2-9b,0.618,0.80448097
500,28,llama3.1-405b,0.714,0.86010957
500,28,llama3.3-70b,0.742,0.9029737
500,28,mistral-large,0.742,0.8987928
500,28,qwen2.5-72b,0.648,0.7985644
500,29,Llama-3.1-8B,0.564,0.7916666
500,29,Llama-3.2-1B,0.334,0.56711185
500,29,Llama-3.2-3B,0.53,0.7493786
500,29,Qwen2.5-0.5B,0.158,0.38061175
500,29,Qwen2.5-1.5B,0.334,0.5818691
500,29,Qwen2.5-3B,0.502,0.733224
500,29,Qwen2.5-7B,0.61,0.8119953
500,29,deepseek-v3,0.754,0.90734285
500,29,gemma-2-2b,0.512,0.7294763
500,29,gemma-2-9b,0.608,0.80070245
500,29,llama3.1-405b,0.7,0.8636618
500,29,llama3.3-70b,0.724,0.88529277
500,29,mistral-large,0.714,0.88484275
500,29,qwen2.5-72b,0.622,0.79789037
500,30,Llama-3.1-8B,0.562,0.7981258
500,30,Llama-3.2-1B,0.302,0.572069
500,30,Llama-3.2-3B,0.496,0.74596906
500,30,Qwen2.5-0.5B,0.172,0.40684995
500,30,Qwen2.5-1.5B,0.306,0.5710192
500,30,Qwen2.5-3B,0.48,0.715557
500,30,Qwen2.5-7B,0.624,0.8332784
500,30,deepseek-v3,0.756,0.91257626
500,30,gemma-2-2b,0.486,0.7395976
500,30,gemma-2-9b,0.604,0.8020452
500,30,llama3.1-405b,0.716,0.88134277
500,30,llama3.3-70b,0.714,0.89414275
500,30,mistral-large,0.736,0.89764035
500,30,qwen2.5-72b,0.642,0.8204976
500,31,Llama-3.1-8B,0.528,0.77091885
500,31,Llama-3.2-1B,0.304,0.5702023
500,31,Llama-3.2-3B,0.488,0.7537904
500,31,Qwen2.5-0.5B,0.14,0.3815284
500,31,Qwen2.5-1.5B,0.29,0.55843574
500,31,Qwen2.5-3B,0.47,0.7132237
500,31,Qwen2.5-7B,0.588,0.8108093
500,31,deepseek-v3,0.734,0.9044691
500,31,gemma-2-2b,0.464,0.7239119
500,31,gemma-2-9b,0.562,0.7845235
500,31,llama3.1-405b,0.626,0.8393854
500,31,llama3.3-70b,0.66,0.8762688
500,31,mistral-large,0.67,0.8781403
500,31,qwen2.5-72b,0.582,0.78228563
500,32,Llama-3.1-8B,0.594,0.7936879
500,32,Llama-3.2-1B,0.302,0.560519
500,32,Llama-3.2-3B,0.51,0.7463311
500,32,Qwen2.5-0.5B,0.166,0.38835454
500,32,Qwen2.5-1.5B,0.326,0.57880956
500,32,Qwen2.5-3B,0.482,0.71070707
500,32,Qwen2.5-7B,0.62,0.8067118
500,32,deepseek-v3,0.758,0.9093286
500,32,gemma-2-2b,0.52,0.7274808
500,32,gemma-2-9b,0.61,0.7980999
500,32,llama3.1-405b,0.674,0.8501997
500,32,llama3.3-70b,0.746,0.8943188
500,32,mistral-large,0.716,0.8822381
500,32,qwen2.5-72b,0.616,0.7965666
500,33,Llama-3.1-8B,0.562,0.788
500,33,Llama-3.2-1B,0.32,0.5792262
500,33,Llama-3.2-3B,0.528,0.7551049
500,33,Qwen2.5-0.5B,0.154,0.39652622
500,33,Qwen2.5-1.5B,0.338,0.58595234
500,33,Qwen2.5-3B,0.496,0.7351572
500,33,Qwen2.5-7B,0.632,0.8189001
500,33,deepseek-v3,0.774,0.9196714
500,33,gemma-2-2b,0.524,0.7507645
500,33,gemma-2-9b,0.612,0.8029382
500,33,llama3.1-405b,0.726,0.8684168
500,33,llama3.3-70b,0.734,0.8856406
500,33,mistral-large,0.738,0.89245015
500,33,qwen2.5-72b,0.656,0.8207119
500,34,Llama-3.1-8B,0.594,0.80081433
500,34,Llama-3.2-1B,0.282,0.5623311
500,34,Llama-3.2-3B,0.514,0.7577
500,34,Qwen2.5-0.5B,0.138,0.36899987
500,34,Qwen2.5-1.5B,0.332,0.58691174
500,34,Qwen2.5-3B,0.478,0.7185907
500,34,Qwen2.5-7B,0.608,0.81669766
500,34,deepseek-v3,0.754,0.9089618
500,34,gemma-2-2b,0.488,0.7383454
500,34,gemma-2-9b,0.596,0.79799277
500,34,llama3.1-405b,0.684,0.86668813
500,34,llama3.3-70b,0.716,0.8882023
500,34,mistral-large,0.706,0.8784643
500,34,qwen2.5-72b,0.636,0.8168142
500,35,Llama-3.1-8B,0.634,0.8238476
500,35,Llama-3.2-1B,0.306,0.56195945
500,35,Llama-3.2-3B,0.506,0.7485642
500,35,Qwen2.5-0.5B,0.168,0.39992848
500,35,Qwen2.5-1.5B,0.336,0.5786571
500,35,Qwen2.5-3B,0.534,0.7420502
500,35,Qwen2.5-7B,0.608,0.8213718
500,35,deepseek-v3,0.776,0.92192847
500,35,gemma-2-2b,0.532,0.76198566
500,35,gemma-2-9b,0.618,0.8140431
500,35,llama3.1-405b,0.712,0.87863815
500,35,llama3.3-70b,0.728,0.8931024
500,35,mistral-large,0.708,0.8817356
500,35,qwen2.5-72b,0.66,0.8294002
500,36,Llama-3.1-8B,0.592,0.8069166
500,36,Llama-3.2-1B,0.296,0.5573191
500,36,Llama-3.2-3B,0.53,0.76960695
500,36,Qwen2.5-0.5B,0.134,0.3580976
500,36,Qwen2.5-1.5B,0.312,0.55746204
500,36,Qwen2.5-3B,0.48,0.7230357
500,36,Qwen2.5-7B,0.622,0.8206238
500,36,deepseek-v3,0.786,0.92483306
500,36,gemma-2-2b,0.52,0.74429286
500,36,gemma-2-9b,0.612,0.80535483
500,36,llama3.1-405b,0.714,0.88077605
500,36,llama3.3-70b,0.712,0.88941896
500,36,mistral-large,0.726,0.8958212
500,36,qwen2.5-72b,0.658,0.8250953
500,37,Llama-3.1-8B,0.566,0.8041735
